Customer_Id,Accepts_Marketing,Created_At,Email,First_Name,Multipass_Identifier,Last_Name,Last_Order_Id,Last_Order_Name,Note,Orders_Count,State,Tags,Tax_Exempt,Total_Spent,Updated_At,Verified_Email,Default_Address_Address1,Default_Address_Address2,Default_Address_City,Default_Address_Company,Default_Address_Country,Default_Address_First_Name,Default_Address_Id,Default_Address_Last_Name,Default_Address_Phone,Default_Address_Province,Default_Address_Zip,Default_Address_Province_Code,Default_Address_Country_Code,Default_Address_Country_Name,Default_Address_Default,Accepts_Marketing_Updated_At,Marketing_Opt_In_Level
7472553033821,,2025-01-24 09:10:10.0000000,"egnition_sample_20250124201007_10@egnition.com","Robert",,"Dean",,,,0,"disabled","egnition-sample-data",False,"0.00",2025-01-24 09:10:10.0000000,True,"447-1605 Eget Road",,"Frankston",,"Jordan","Robert",8698238304349,"Dean","+11632190468",,"78682",,"JO","Jordan","true",,
7472553001053,,2025-01-24 09:10:09.0000000,"egnition_sample_20250124201007_9@egnition.com","Steven",,"Porter","6288780361821","#1007",,1,"disabled","egnition-sample-data, referral",False,"0.00",2025-01-24 09:11:36.0000000,True,"Ap #147-5705 Nonummy Street",,"Maubeuge",,"Eritrea","Steven",8698238271581,"Porter","+2911128657",,"7759",,"ER","Eritrea","true",,
7472552968285,,2025-01-24 09:10:09.0000000,"egnition_sample_20250124201007_8@egnition.com","Hedley",,"Ewing","6288782917725","#1020",,6,"disabled","egnition-sample-data",False,"1.10",2025-01-24 09:14:52.0000000,True,"3884 Purus Street",,"Phoenix",,"Solomon Islands","Hedley",8698238238813,"Ewing","+67724127",,"3998",,"SB","Solomon Islands","true",,
7472552935517,,2025-01-24 09:10:09.0000000,"egnition_sample_20250124201007_7@egnition.com","Henry",,"Cardenas","6288782884957","#1019",,3,"disabled","egnition-sample-data",False,"0.80",2025-01-24 09:14:46.0000000,True,"470-8311 Sed Rd.",,"Little Rock",,"Madagascar","Henry",8698238206045,"Cardenas","+261340741879",,"13941",,"MG","Madagascar","true",,
7472552902749,,2025-01-24 09:10:08.0000000,"egnition_sample_20250124201007_6@egnition.com","Chadwick",,"Medina","6288781213789","#1011",,1,"disabled","egnition-sample-data, referral",False,"0.10",2025-01-24 09:12:40.0000000,True,"Ap #417-5876 Mus. St.",,"Neuruppin",,"Pakistan","Chadwick",8698238173277,"Medina","+92515766120",,"82623",,"PK","Pakistan","true",,
7472552869981,,2025-01-24 09:10:08.0000000,"egnition_sample_20250124201007_5@egnition.com","Aaron",,"Hooper","6288780329053","#1006",,2,"disabled","egnition-sample-data, VIP",False,"0.10",2025-01-24 09:11:30.0000000,True,"Ap #332-1748 Enim Rd.",,"Oklahoma City",,"Senegal","Aaron",8698238140509,"Hooper","+221339511205",,"4378",,"SN","Senegal","true",,
7472552837213,,2025-01-24 09:10:08.0000000,"egnition_sample_20250124201007_4@egnition.com","Xanthus",,"Downs","6288781017181","#1009",,2,"disabled","egnition-sample-data",False,"0.30",2025-01-24 09:12:28.0000000,True,"640-1995 Ut Rd.",,"Salem",,"Congo, The Democratic Republic Of The","Xanthus",8698238107741,"Downs","+243825125401",,"529515",,"CD","Congo, The Democratic Republic Of The","true",,
7472552804445,,2025-01-24 09:10:07.0000000,"egnition_sample_20250124201007_3@egnition.com","Trevor",,"Clemons","6288782655581","#1017",,3,"disabled","egnition-sample-data",False,"0.20",2025-01-24 09:14:35.0000000,True,"P.O. Box 712, 4930 Adipiscing, Rd.",,"Hartford",,"Mayotte","Trevor",8698238074973,"Clemons","+262269608792",,"301052",,"YT","Mayotte","true",,
7472552771677,,2025-01-24 09:10:07.0000000,"egnition_sample_20250124201007_2@egnition.com","Chancellor",,"Huber",,,,0,"disabled","egnition-sample-data",False,"0.00",2025-01-24 09:10:07.0000000,True,"923 Ligula. St.",,"Herne",,"Congo, The Democratic Republic Of The","Chancellor",8698238042205,"Huber","+243825003718",,"N725KO",,"CD","Congo, The Democratic Republic Of The","true",,
7472552738909,,2025-01-24 09:10:07.0000000,"egnition_sample_20250124201007_1@egnition.com","Garth",,"Short","6288781279325","#1012",,2,"disabled","egnition-sample-data, referral",False,"0.10",2025-01-24 09:12:45.0000000,True,"5758 A, Street",,"Hyeres",,"Switzerland","Garth",8698238009437,"Short","+41338859506",,"82995",,"CH","Switzerland","true",,
7472542253149,,2025-01-24 08:55:07.0000000,"karine.ruby@example.com","Karine",,"Ruby",,,,0,"disabled","",False,"0.00",2025-01-24 08:55:08.0000000,True,,,,,,,,,,,,,,,,,
7472542220381,,2025-01-24 08:55:07.0000000,"russel.winfield@example.com","Russell",,"Winfield",,,"This customer is created with most available fields",0,"disabled","VIP",False,"0.00",2025-01-24 08:55:08.0000000,True,"105 Victoria St",,"Toronto","Company Name","Canada","Russell",8698226999389,"Winfield",,,"M5C1N7",,"CA","Canada","true",,
7472542187613,,2025-01-24 08:55:07.0000000,"ayumu.hirano@example.com","Ayumu",,"Hirano",,,,0,"disabled","",False,"0.00",2025-01-24 08:55:07.0000000,True,,,,,,,,,,,,,,,,,
